timestamp,crypto-stable-ratio
1633219200,16.6
1633824000,18
1634428800,19.4
1635033600,19.8
1635638400,20.16
1636243200,20.4
1636848000,29.7
1637452800,20.9
1638057600,17.3
1638662400,15.77
1639267200,15.05
1639872000,14.43
1640476800,15.04
1641081600,14.1
1641686400,
1642291200,12.6
1642896000,10.2
1643500800,10.3
1644105600,11.1
1644710400,11.01
1645315200,10.27
1645920000,10.11
1646524800,9.89
1647129600,9.73
1647734400,10.4
1648339200,11.05
1648944000,11.88
1649548800,10.8
1650153600,10.36
1650758400,10.08
1651363200,9.45
1651968000,9.13
1652572800,8.15
1653177600,8.07
1653782400,7.71
1654387200,7.86
1654992000,7.26
1655596800,5.42
1656201600,6.34
1656806400,5.73
1657411200,6.33
1658016000,6.46
1658620800,6.78
1659225600,7.46
1659830400,7.2
1660435200,7.73
1661040000,6.78
1661644800,6.39
1662249600,6.47
1662854400,6.9
1663459200,6.4
1664064000,6.25
1664668800,6.34
1665273600,6.41
1665878400,6.27
1666483200,6.38
1667088000,7.12
1667692800,7.33
1668297600,5.82
1668902400,5.79
1669507200,5.92
1670112000,6.06
1670716800,6.07
1671321600,5.78
1671926400,
1672531200,
1673136000,6.04
1673740800,7.11
1674345600,7.66
1674950400,7.74
1675555200,7.87
1676160000,7.46
1676764800,8.29
1677369600,7.92
1677974400,
1678579200,
1679184000,8.79
1679788800,8.75
1680393600,9.03
1680998400,9.1
1681603200,9.82
1682208000,8.96
1682812800,9.43
1683417600,9.41
1684022400,8.76
1684627200,8.91
1685232000,8.94
1685836800,9.05
1686441600,8.37
1687046400,8.49
1687651200,9.34
1688256000,9.56
1688860800,9.43
1689465600,9.72
1690070400,9.67
1690675200,9.58
1691280000,9.45
1691884800,9.53
1692489600,8.68
1693094400,8.61
1693699200,8.51
1694304000,8.55
1694908800,8.71
1695513600,8.63
1696118400,8.89
1696723200,8.98
1697328000,8.67
